!SIL sil
<UNK> spn
żal	Z a l
prawdy	p r a v d i2
prawie	p r a v i e
przekonaniu	p S e k o n a n i u
pokusy	p o k u s i2
przeświadczenie	p S e sj v i a d tS e n i e
zarabiać	z a r a b i a tsj
gestem	g e s t e m
komputerów	k o m p u t e r u v
perswazji	p e r s v a z j i
gędził	g eo5 dzj i w
czynszowe	tS i2 n S o v e
publicznym	p u b l j tS n i2 m
wyjdziesz	v i2 j dzj e S
dbali	d b a l j
rozdzielczości	r o z dzj e l tS o sj tsj i
zostali	z o s t a l j
wyprostuj	v i2 p r o s t u j
refleksji	r e f l e k s j i
życiem	Z i2 tsj e m
bytu	b i2 t u
wziął	v zj oc5 w
reagowałeś	r e a g o v a w e sj
kwantowymi	k f a n t o v i2 m i
aforyzmy	a f o r i2 z m i2
niespodzianej	n i e s p o dzj a n e j
zakochanych	z a k o h a n i2 h
twoja	t f o j a
wiersza	v i e r S a
ujarzmienie	u j a Z m i e n i e
ułatwieniem	u w a t f i e n i e m
bestię	b e s t j e
startowałaś	s t a r t o v a w a sj
zamierzonego	z a m i e Z o n e g o
oceniona	o c e n i o n a
łez	w e z
razie	r a zj e
źródło	zj r u d w o
uwagę	u v a g e
mikrokosmosu	m i k r o k o s m o s u
piątym	p i oc5 t i2 m
kierownictwo	k i e r o v n i c t f o
górną	g u r n oc5
jednym	j e d n i2 m
przedstawimy	p S e d s t a v i m i2
spróbuję	s p r u b u j e
sojuszników	s o j u S n i k u v
redakcyjny	r e d a k c i2 j n i2
wiarę	v i a r e
zadowoliłaby	z a d o v o l j w a b i2
seks-maniaka	s e k s m a n i a k a
grałam	g r a w a m
gęsi	g eo5 sj i
quentin	k e n t j n
mojej	m o j e j
owego	o v e g o
krwawię	k r v a v i e
rozczarowaniem	r o z tS a r o v a n i e m
większe	v i eo5 k S e
mocnej	m o c n e j
skruchę	s k r u h e
wyciągnął	v i2 tsj oc5 g n oc5 w
wiadomo	v i a d o m o
rozprowadziła	r o z p r o v a dzj i w a
shoping	s h o p i n g
kąpieli	k oc5 p i e l j
jutro	j u t r o
argumenty	a r g u m e n t i2
atrybutami	a t r i2 b u t a m i
pełni	p e w n i
zdradzisz	z d r a dzj i S
zdradzić	z d r a dzj i tsj
komie	k o m i e
przede	p S e d e
ciemniejszych	tsj e m n i e j S i2 h
prośby	p r o sj b i2
przebaczającym	p S e b a tS a j oc5 c i2 m
ekranie	e k r a n i e
duże	d u Z e
policzki	p o l j tS k i
pytać	p i2 t a tsj
średni	sj r e d n i
chrochodylek	h r o h o d i2 l e k
subwoofer	s u b v o o f e r
wpływ	v p w i2 v
smartsuite	s m a r t s u i t e
też	t e S
ograł	o g r a w
zastosujemy	z a s t o s u j e m i2
niesmak	n i e s m a k
wakacje	v a k a c j e
towarzysząca	t o v a Z i2 S oc5 c a
polszczyzną	p o l S tS i2 z n oc5
microsoftu	m i c r o s o f t u
dokonany	d o k o n a n i2
spotkałam	s p o t k a w a m
przemawia	p S e m a v i a
szczątek	S tS oc5 t e k
realna	r e a l n a
dzieci	dzj e tsj i
dziewczynę	dzj e v tS i2 n e
bohra	b o h r a
zmienia	z m i e n i a
kremy	k r e m i2
historycznych	h j s t o r i2 tS n i2 h
pisanie	p i s a n i e
miecza	m i e tS a
rybacy	r i2 b a c i2
były	b i2 w i2
książki	k tsj oc5 Z k i
podejrzanego	p o d e j Z a n e g o
listu	l j s t u
najwięcej	n a j v i eo5 c e j
doświadczyłeś	d o sj v i a d tS i2 w e sj
np	n p
junacka	j u n a c k a
zanik	z a n i k
wyznań	v i2 z n a n~
koniec	k o n i e c
żółwia	Z u w v i a
żądny	Z oc5 d n i2
mego	m e g o
wojennych	v o j e n n i2 h
niezbędne	n i e z b eo5 d n e
biblioteką	b i b l j o t e k oc5
procedur	p r o c e d u r
hamburg	h a m b u r g
najnowszym	n a j n o v S i2 m
niepodzielne	n i e p o dzj e l n e
nauczaniem	n a u tS a n i e m
dokonywać	d o k o n i2 v a tsj
ludy	l u d i2
szary	S a r i2
raju	r a j u
różnorakie	r u Z n o r a k i e
są	s oc5
chodzić	h o dzj i tsj
metr	m e t r
pędzeni	p eo5 dz e n i
uścisk	u sj tsj i s k
przygotowuje	p S i2 g o t o v u j e
tajemnic	t a j e m n i c
rzucone	Z u c o n e
zagradza	z a g r a dz a
obejrzenia	o b e j Z e n i a
wyrazić	v i2 r a zj i tsj
stożkach	s t o Z k a h
rozpoczyna	r o z p o tS i2 n a
ejże	e j Z e
dziesiątym	dzj e tsj oc5 t i2 m
śpi	sj p i
początku	p o tS oc5 t k u
powinnaś	p o v i n n a sj
seryjni	s e r i2 j n i
morskiej	m o r s k i e j
osoba	o s o b a
rozprawy	r o z p r a v i2
przeszłość	p S e S w o sj tsj
skorzystać	s k o Z i2 s t a tsj
opiekować	o p i e k o v a tsj
filozofem	f i l o z o f e m
postrzegał	p o s t S e g a w
każe	k a Z e
dzieła	dzj e w a
przymusem	p S i2 m u s e m
koncert	k o n c e r t
szczerość	S tS e r o sj tsj
zeszłego	z e S w e g o
zadawałem	z a d a v a w e m
wami	v a m i
wzory	v z o r i2
wstążek	v s t oc5 Z e k
rodzą	r o dz oc5
przekroczy	p S e k r o tS i2
niekoniecznie	n i e k o n i e tS n i e
niezwyciężony	n i e z v i2 tsj eo5 Z o n i2
zainteresowań	z a i n t e r e s o v a n~
sakrament	s a k r a m e n t
wierzyć	v i e Z i2 tsj
odejść	o d e j sj tsj
zwątpili	z v oc5 t p i l j
delikatny	d e l j k a t n i2
dobry	d o b r i2
bunt	b u n t
pozorami	p o z o r a m i
widmo	v i d m o
niebawem	n i e b a v e m
samobójstwo	s a m o b u j s t f o
myśli	m i2 sj l j
realny	r e a l n i2
głównie	g w u v n i e
powodów	p o v o d u v
cokolwiek	c o k o l v i e k
wędrowca	v eo5 d r o v c a
pokolenia	p o k o l e n i a
celu	c e l u
wiec	v i e c
zastanawiałem	z a s t a n a v i a w e m
jasne	j a s n e
lewe	l e v e
użytkownicy	u Z i2 t k o v n i c i2
światło	sj v i a t w o
absurdalnych	a b s u r d a l n i2 h
zamknięciu	z a m k n i eo5 tsj u
dosłownie	d o s w o v n i e
przemyślnie	p S e m i2 sj l n i e
dociekania	d o tsj e k a n i a
patrzy	p a t S i2
ckosmo	c k o s m o
zakon	z a k o n
możliwość	m o Z l j v o sj tsj
atutów	a t u t u v
broni	b r o n i
postawi	p o s t a v i
zabrania	z a b r a n i a
nim	n i m
przykładzie	p S i2 k w a dzj e
niestrudzony	n i e s t r u dz o n i2
które	k t u r e
mieszkania	m i e S k a n i a
osiągnięte	o tsj oc5 g n i eo5 t e
inhalacji	i n h a l a c j i
potężniejszymi	p o t eo5 Z n i e j S i2 m i
systemowe	s i2 s t e m o v e
płciowym	p w tsj o v i2 m
usłyszeć	u s w i2 S e tsj
teraźniejszym	t e r a zj n i e j S i2 m
kobiecość	k o b i e c o sj tsj
momentu	m o m e n t u
pieniądze	p i e n i oc5 dz e
nieużytym	n i e u Z i2 t i2 m
cudach	c u d a h
szczególnych	S tS e g u l n i2 h
zleniwiały	z l e n i v i a w i2
zatrzymani	z a t S i2 m a n i
krzywego	k S i2 v e g o
gadacza	g a d a tS a
matek	m a t e k
wymówek	v i2 m u v e k
tożsamy	t o Z s a m i2
mistrzowie	m i s t S o v i e
wino	v i n o
rzeczywistości-	Z e tS i2 v i s t o sj tsj e
dostała	d o s t a w a
boku	b o k u
drgań	d r g a n~
praktyczne	p r a k t i2 tS n e
pieściłaś	p i e sj tsj i w a sj
mariesjew	m a r j e s j e v
tajnych	t a j n i2 h
rzeczywistość	Z e tS i2 v i s t o sj tsj
jakoby	j a k o b i2
całkiem	c a w k i e m
zdejmuj	z d e j m u j
postacie	p o s t a tsj e
położenia	p o w o Z e n i a
rozstrzygnąć	r o z s t S i2 g n oc5 tsj
przegranych	p S e g r a n i2 h
suwałk	s u v a w k
chętniej	h eo5 t n i e j
gończe	g o n~ tS e
jeszcze	j e S tS e
pirackich	p i r a c k i h
śmiercią	sj m i e r tsj i oc5
pospieszna	p o s p i e S n a
dużą	d u Z oc5
kafki	k a f k i
wolności	v o l n o sj tsj i
białe	b i a w e
pracę	p r a c e
francisco	f r a n tsj i s c o
manifesty	m a n i f e s t i2
umykało	u m i2 k a w o
poezja	p o e z j a
kupuję	k u p u j e
pracowicie	p r a c o v i tsj e
piętnastego	p i eo5 t n a s t e g o
pogardzie	p o g a r dzj e
ostatecznym	o s t a t e tS n i2 m
pomidorówki	p o m i d o r u v k i
świecie	sj v i e tsj e
zbiorowa	z b i o r o v a
ziemskim	zj e m s k i m
amerykańskie	a m e r i2 k a n~ s k i e
dziękuję	dzj eo5 k u j e
kilka	k i l k a
wyglądu	v i2 g l oc5 d u
metrów	m e t r u v
szła	S w a
2	d
poznaje	p o z n a j e
ogrodem	o g r o d e m
kobietę	k o b i e t e
jednostki	j e d n o s t k i
mnie	m n i e
minione	m i n i o n e
dochodzi	d o h o dzj i
protezy	p r o t e z i2
obiera	o b i e r a
otwory	o t f o r i2
powiekę	p o v i e k e
uwodzenia	u v o dz e n i a
pochłonięta	p o h w o n i eo5 t a
przychwycić	p S i2 h v i2 tsj i tsj
zasłanych	z a s w a n i2 h
działania	dzj a w a n i a
ziemianie	zj e m i a n i e
noc	n o c
jednolitej	j e d n o l j t e j
pantomimą	p a n t o m i m oc5
niech	n i e h
mówiłaś	m u v i w a sj
iż	i S
tytuły	t i2 t u w i2
zbuntowane	z b u n t o v a n e
spotykanej	s p o t i2 k a n e j
właśnie	v w a sj n i e
urzeczywistnia	u Z e tS i2 v i s t n i a
sytuacjom	s i2 t u a c j o m
wyruszy	v i2 r u S i2
b-17	b e o sj
stawiły	s t a v i w i2
spowodowane	s p o v o d o v a n e
panują	p a n u j oc5
bierze	b i e Z e
propozycje	p r o p o z i2 c j e
akceptację	a k c e p t a c j e
rozrywkach	r o z r i2 v k a h
każde	k a Z d e
ukochany	u k o h a n i2
kosiński	k o sj i n~ s k i
wprawdzie	v p r a v dzj e
wiecznym	v i e tS n i2 m
po	p o
chrześcijaństwo	h Z e sj tsj i j a n~ s t f o
lokomotywy	l o k o m o t i2 v i2
zaznajomienie	z a z n a j o m i e n i e
płaczącym	p w a tS oc5 c i2 m
wybijają	v i2 b i j a j oc5
dzieciom	dzj e tsj o m
brat	b r a t
lśniącymi	l sj n i oc5 c i2 m i
wskazywać	v s k a z i2 v a tsj
uważaliśmy	u v a Z a l j sj m i2
osiemdziesiątych	o sj e m dzj e tsj oc5 t i2 h
w	v
umie	u m i e
znużenia	z n u Z e n i a
leibnizu	l e i b n i z u
najlepiej	n a j l e p i e j
mawsu'at	m a v s u a t
żałobną	Z a w o b n oc5
krótkometrażowego	k r u t k o m e t r a Z o v e g o
więc	v i eo5 c
pomogło	p o m o g w o
zadaniem	z a d a n i e m
starożytnego	s t a r o Z i2 t n e g o
domatowa	d o m a t o v a
metafizyczny	m e t a f i z i2 tS n i2
store.britannica.com	s t o r e b r j t a n n i c a c o m
protestu	p r o t e s t u
nieoczekiwana	n i e o tS e k i v a n a
przejściowe	p S e j sj tsj o v e
przekroczyć	p S e k r o tS i2 tsj
straszliwe	s t r a S l j v e
ciekawej	tsj e k a v e j
staram	s t a r a m
777	sj e e
jakich	j a k i h
czai	tS a i
drobinkę	d r o b i n k e
chyba	h i2 b a
próbowałaś	p r u b o v a w a sj
własnego	v w a s n e g o
warstwie	v a r s t f i e
chciałby	h tsj a w b i2
powieściowe	p o v i e sj tsj o v e
chamfort	h a m f o r t
tango"-	t a n g o
radosna	r a d o s n a
warszawskiej	v a r S a v s k i e j
nazbyt	n a z b i2 t
er	e r
zaistnieć	z a i s t n i e tsj
bogiem	b o g i e m
rochefoucauld	r o h e f o u c a u l d
napisanego	n a p i s a n e g o
panny	p a n n i2
zbroje	z b r o j e
przyjemnością	p S i2 j e m n o sj tsj oc5
podlegającego	p o d l e g a j oc5 c e g o
wróżenia	v r u Z e n i a
polega	p o l e g a
li	l j
dobrych	d o b r i2 h
grupie	g r u p i e
czekającej	tS e k a j oc5 c e j
myśleć	m i2 sj l e tsj
tli	t l j
dot	d o t
jednak	j e d n a k
dosięgnął	d o sj eo5 g n oc5 w
pozorem	p o z o r e m
pochodach	p o h o d a h
rozmawiały	r o z m a v i a w i2
waliło	v a l j w o
robiłam	r o b i w a m
wybiera	v i2 b i e r a
samozachowawczy	s a m o z a h o v a v tS i2
nową	n o v oc5
prostu	p r o s t u
filtru	f i l t r u
kosmosie	k o s m o sj e
check	h e c k
zakazywać	z a k a z i2 v a tsj
imienia	i m i e n i a
przyjaciółmi	p S i2 j a tsj u w m i
idiotyczny	i d j o t i2 tS n i2
zarówno	z a r u v n o
wojskowych	v o j s k o v i2 h
cienkie	tsj e n k i e
jednakowoż	j e d n a k o v o S
92	eo5 tsj d
całkowicie	c a w k o v i tsj e
pisarskim	p i s a r s k i m
sumienia	s u m i e n i a
ukrywają	u k r i2 v a j oc5
uruchamiamy	u r u h a m i a m i2
prasie	p r a sj e
oko	o k o
nieruchomości	n i e r u h o m o sj tsj i
zyskały	z i2 s k a w i2
średnią	sj r e d n i oc5
narzeczona	n a Z e tS o n a
wiernych	v i e r n i2 h
wierzących	v i e Z oc5 c i2 h
hajduna	h a j d u n a
błyszczącym	b w i2 S tS oc5 c i2 m
oddaję	o d d a j e
leków	l e k u v
osobistego	o s o b i s t e g o
ukrytą	u k r i2 t oc5
luksusowa	l u k s u s o v a
otrzymane	o t S i2 m a n e
odwrót-	o d v r u t
przyczynę	p S i2 tS i2 n e
myślała	m i2 sj l a w a
artykuły	a r t i2 k u w i2
krainie	k r a i n i e
mówił	m u v i w
magnetofonów	m a g n e t o f o n u v
wariatki	v a r j a t k i
sportu	s p o r t u
tradycji	t r a d i2 c j i
zalewa	z a l e v a
williama	v i l l j a m a
przychodzi	p S i2 h o dzj i
dzięki	dzj eo5 k i
taktu	t a k t u
poobijanych	p o o b i j a n i2 h
czystą	tS i2 s t oc5
domowi	d o m o v i
zapędził	z a p eo5 dzj i w
praktycznym	p r a k t i2 tS n i2 m
burze	b u Z e
for	f o r
słuchamy	s w u h a m i2
głównych	g w u v n i2 h
zrozumieniem	z r o z u m i e n i e m
ponurej	p o n u r e j
twoimi	t f o i m i
stopami	s t o p a m i
kina	k i n a
cywilizacji	c i2 v i l j z a c j i
znalazła	z n a l a z w a
the	t h e
błędnymi	b w eo5 d n i2 m i
chwilka	h v i l k a
dodamy	d o d a m i2
jeździł	j e zj dzj i w
chin	h j n
zmarłego	z m a r w e g o
rzadkie!-	Z a t k i e e
zachować	z a h o v a tsj
piórami	p i u r a m i
stale	s t a l e
bonanzy	b o n a n z i2
herbaty	h e r b a t i2
homera	h o m e r a
planami	p l a n a m i
twojej	t f o j e j
owładnięta	o v w a d n i eo5 t a
zwyciężył	z v i2 tsj eo5 Z i2 w
wygrałam	v i2 g r a w a m
określona	o k r e sj l o n a
odrzuceniem	o d Z u c e n i e m
puchatek	p u h a t e k
czytał	tS i2 t a w
dokładnie	d o k w a d n i e
swych	s v i2 h
pamięta	p a m i eo5 t a
powodu	p o v o d u
fakt	f a k t
niosącą	n i o s oc5 c oc5
czasie	tS a sj e
czyhającego	tS i2 h a j oc5 c e g o
wf	v f
filharmonii	f i l h a r m o n i i
zwrócić	z v r u tsj i tsj
stałaś	s t a w a sj
wysokiego	v i2 s o k i e g o
wzruszyłaś	v z r u S i2 w a sj
spędziła	s p eo5 dzj i w a
dostrzegłby	d o s t S e g w b i2
szczęśliwym	S tS eo5 sj l j v i2 m
lęk	l eo5 k
remake	r e m a k e
zganiał	z g a n i a w
wciąż	v tsj oc5 S
b-29	b e d eo5 tsj
istnienia	i s t n i e n i a
zdaje	z d a j e
bronią	b r o n i oc5
przypisana	p S i2 p i s a n a
przyczynach	p S i2 tS i2 n a h
pogrzebania	p o g Z e b a n i a
dziele	dzj e l e
użycia	u Z i2 tsj a
dźwięki	dzj v i eo5 k i
buduje	b u d u j e
ujmującą	u j m u j oc5 c oc5
zajmujący	z a j m u j oc5 c i2
plan	p l a n
zostawiając	z o s t a v i a j oc5 c
ukojonej	u k o j o n e j
gazet	g a z e t
mikołaja	m i k o w a j a
serialach	s e r j a l a h
zamachy	z a m a h i2
swoich	s v o i h
status	s t a t u s
podatków	p o d a t k u v
rozumiem	r o z u m i e m
próg	p r u g
świetna	sj v i e t n a
windzie	v i n dzj e
magiczną	m a g i tS n oc5
śmierci	sj m i e r tsj i
daleko	d a l e k o
podobnego	p o d o b n e g o
traciłam	t r a tsj i w a m
sensie	s e n sj e
razu	r a z u
podwajał	p o d v a j a w
siatkowym	tsj a t k o v i2 m
witherspoon	v i t h e r s p o o n
podnosić	p o d n o sj i tsj
państwa	p a n~ s t f a
względów	v z g l eo5 d u v
facet	f a c e t
wywiadowi	v i2 v i a d o v i
anarchistkę	a n a r h j s t k e
nęcąca	n eo5 c oc5 c a
zmarłemu	z m a r w e m u
zaciągi	z a tsj oc5 g i
kochać	k o h a tsj
kręgi	k r eo5 g i
furii	f u r j i
konspiratorzy	k o n s p i r a t o Z i2
gruba	g r u b a
przebywa	p S e b i2 v a
zasadzie	z a s a dzj e
podarować	p o d a r o v a tsj
używając	u Z i2 v a j oc5 c
wirefusion	v i r e f u sj o n
nieskończonych	n i e s k o n~ tS o n i2 h
badania	b a d a n i a
wagi	v a g i
toczonych	t o tS o n i2 h
przychodzę	p S i2 h o dz e
miłość-	m i w o sj tsj e
brakiem	b r a k i e m
kalkulacyjny	k a l k u l a c i2 j n i2
wypada	v i2 p a d a
ziemię	zj e m i e
dziedzinie	dzj e dzj i n i e
zbawienia	z b a v i e n i a
szpad	S p a d
robisz	r o b i S
od	o d
aż	a S
gdzież	g dzj e S
przybiorą	p S i2 b i o r oc5
przymocowane	p S i2 m o c o v a n e
rozumu	r o z u m u
zmniejsza	z m n i e j S a
rozległość	r o z l e g w o sj tsj
wspólnej	v s p u l n e j
paliłem	p a l j w e m
ogródek	o g r u d e k
start	s t a r t
dziewictwa	dzj e v i c t f a
ostatnim	o s t a t n i m
iluzji	i l u z j i
nieodwołalną	n i e o d v o w a l n oc5
poskrzypiałem	p o s k S i2 p i a w e m
unikaj	u n i k a j
chłopak	h w o p a k
ostatni	o s t a t n i
talerzem	t a l e Z e m
love	l o f e
zyskałam	z i2 s k a w a m
kresu	k r e s u
nasz	n a S
podejrzeń	p o d e j Z e n~
sprawiedliwości	s p r a v i e d l j v o sj tsj i
lasy	l a s i2
paranoją	p a r a n o j oc5
chciałoby	h tsj a w o b i2
domogarow	d o m o g a r o v
nabierający	n a b i e r a j oc5 c i2
ok	o k
emocjonalnych	e m o c j o n a l n i2 h
kubusia	k u b u tsj a
radośnie	r a d o sj n i e
biodrach	b i o d r a h
częściej	tS eo5 sj tsj e j
kojarzy	k o j a Z i2
powodować	p o v o d o v a tsj
obiektu	o b i e k t u
big	b i g
stał	s t a w
dziady	dzj a d i2
kolejnego	k o l e j n e g o
niczym	n i tS i2 m
futrzaną	f u t S a n oc5
domogarowa	d o m o g a r o v a
prosto	p r o s t o
skromnie	s k r o m n i e
podobnych	p o d o b n i2 h
jednocześnie	j e d n o tS e sj n i e
ma-	m a e
lubi	l u b i
literackiego	l j t e r a c k i e g o
ważniejsze	v a Z n i e j S e
even	e f e n
zakochać	z a k o h a tsj
popularna	p o p u l a r n a
włoch	v w o h
zainteresowanie	z a i n t e r e s o v a n i e
szerszą	S e r S oc5
narzędziem	n a Z eo5 dzj e m
103	s t o S i2
bywa	b i2 v a
zlikwidować	z l j k f i d o v a tsj
mistrz	m i s t S
grabów	g r a b u v
zaprawieni	z a p r a v i e n i
spędzonych	s p eo5 dz o n i2 h
zrozumiał	z r o z u m i a w
dziwi	dzj i v i
zabójczym	z a b u j tS i2 m
kiszonych	k i S o n i2 h
dzieł	dzj e w
małego	m a w e g o
albumu	a l b u m u
potrawa	p o t r a v a
przyzwoitości-	p S i2 z v o i t o sj tsj i e
chętka	h eo5 t k a
współczesności	v s p u w tS e s n o sj tsj i
zrobienia	z r o b i e n i a
przypuszczać	p S i2 p u S tS a tsj
ujęć	u j eo5 tsj
głąb	g w oc5 b
włoskiego	v w o s k i e g o
pułapki	p u w a p k i
małe	m a w e
wenus	v e n u s
jakąkolwiek	j a k oc5 k o l v i e k
równię	r u v n i e
ciebie	tsj e b i e
sprawiedliwość	s p r a v i e d l j v o sj tsj
kupującym	k u p u j oc5 c i2 m
trzema	t S e m a
nieczytany	n i e tS i2 t a n i2
miecz	m i e tS
dorośli	d o r o sj l j
d	d
przygotował	p S i2 g o t o v a w
inna	i n n a
dowodzą	d o v o dz oc5
bombowe	b o m b o v e
został	z o s t a w
